85	 -0.2500	 -0.3000	 -0.0400	 -0.0200	 -0.0200
85 s	 -0.2000	 -0.2000	 -0.0900	 -0.0400	 -0.0500
84	 -0.2600	 -0.3400	 -0.0500	 -0.0200	 -0.0100
84 s	 -0.2200	 -0.2800	 -0.1000	 -0.0700	 -0.0700
83	 -0.2500	 -0.3800	 -0.0300	 -0.0200	 -0.0200
83 s	 -0.2400	 -0.2900	 -0.0900	 -0.0800	 -0.1000
82	 -0.2600	 -0.3700	 -0.0400	 -0.0100	 -0.0100
82 s	 -0.2500	 -0.3200	 -0.1100	 -0.0800	 -0.0800
76	 -0.2200	 -0.2600	 -0.0800	 -0.0400	 -0.0500
76 s	 -0.1000	 -0.1700	 0.0200	 0.0300	 0.0000
75	 -0.2500	 -0.2900	 -0.0400	 -0.0300	 -0.0200
75 s	 -0.2200	 -0.1100	 -0.0900	 -0.0400	 0.0100
74	 -0.2500	 -0.3400	 -0.0600	 -0.0200	 -0.0200
74 s	 -0.2400	 -0.2400	 -0.1000	 -0.1100	 -0.0200
73	 -0.2600	 -0.3700	 -0.0400	 -0.0200	 -0.0200
73 s	 -0.2300	 -0.2900	 -0.1300	 -0.0900	 -0.0400
72	 -0.2500	 -0.3700	 -0.0400	 -0.0200	 -0.0200
72 s	 -0.2500	 -0.3700	 -0.1100	 -0.0800	 -0.0500
65	 -0.2500	 -0.2800	 -0.0700	 -0.0600	 -0.0500
65 s	 -0.1800	 -0.1400	 -0.0300	 0.0000	 0.0100
64	 -0.2400	 -0.3000	 -0.0500	 -0.0300	 -0.0400
64 s	 -0.1700	 -0.1400	 -0.0700	 -0.0600	 -0.0300
63	 -0.2500	 -0.3400	 -0.0500	 -0.0200	 -0.0200
63 s	 -0.2000	 -0.1900	 -0.1100	 -0.0900	 -0.0600
62	 -0.2600	 -0.3500	 -0.0400	 -0.0100	 -0.0100
62 s	 -0.2600	 -0.2200	 -0.1300	 -0.0900	 -0.0800
54	 -0.2600	 -0.3000	 -0.0700	 -0.0600	 -0.0400
54 s	 -0.1700	 -0.1500	 -0.1000	 -0.0100	 -0.0700
53	 -0.2500	 -0.3300	 -0.0400	 -0.0200	 -0.0200
53 s	 -0.1900	 -0.2400	 -0.0500	 -0.0600	 -0.0400
52	 -0.2700	 -0.3400	 -0.0400	 -0.0200	 -0.0200
52 s	 -0.2500	 -0.2800	 -0.1200	 -0.0700	 -0.0900
43	 -0.2800	 -0.3400	 -0.0600	 -0.0500	 -0.0400
43 s	 -0.2500	 -0.2500	 -0.0800	 -0.0900	 -0.1200
42	 -0.2500	 -0.3600	 -0.0500	 -0.0200	 -0.0200
42 s	 -0.2500	 -0.2700	 -0.0900	 -0.1000	 -0.1000
32	 -0.2800	 -0.3800	 -0.0700	 -0.0300	 -0.0400
32 s	 -0.2500	 -0.3000	 -0.1400	 -0.0800	 -0.1200

